id,hora_de_criacao,hora_da_modificacao,proprietario_do_matricula,proprietario_do_matricula_name,aluno,data_de_desistencia_do_curso,estagio,nota_final,processo_seletivo,turma,criado_por,opcao_de_sair_do_email,hora_da_ultima_atividade,modificado_por,mass_update,motivo_da_desistencia,tipo_de_comunicacao,aluno_destaque,justificativa_comunicacao,aws_certified_cloud_practitioner,data_de_resultado,data_do_agendamento,reprovacao_laboratorio,reprovacao_por_falta,voucher_distribuido,criar_empregabilidade,pular_envio_vc2,tipo_de_matricula
5288345000130026037,30/09/2024 11:25,19/02/2025 09:59,5288345000000366001,Administrador EdN,5.28834500011856e+18,,Aprovado,100.0,5.288345000118535e+18,5.28834500013011e+18,5288345000000366001,No,19/02/2025 09:59,5288345000015189003,,,Empregabilidade,No,,Reprovado,04/02/2025,04/02/2025,No,No,Yes,Yes,No,Curso Base
5288345000104901202,23/05/2024 13:53,20/02/2025 05:00,5288345000000366001,Administrador EdN,5.288345000005626e+18,,Aprovado,100.0,5.28834500009012e+18,5.288345000104276e+18,5288345000000366001,No,20/02/2025 05:00,5288345000015189003,,,Empregabilidade,No,"Está em transição de carreira,Quer sair da empresa atual",Agendado,,05/04/2025,No,No,Yes,Yes,No,Curso Base
5288345000053145309,18/09/2023 16:54,20/02/2025 06:11,5288345000000366001,Administrador EdN,5.288345000048204e+18,,Aprovado,100.0,5.288345000048187e+18,5.288345000067452e+18,5288345000000366001,No,20/02/2025 06:11,5288345000015189003,14/12/2023,,Empregabilidade,No,Está em transição de carreira,NoShow,19/02/2025,19/02/2025,No,No,Yes,Yes,No,Curso Base
5288345000123305055,30/08/2024 13:46,20/02/2025 06:07,5288345000000366001,Administrador EdN,5.288345000097241e+18,,Aprovado,84.0,5.288345000112238e+18,5.288345000121176e+18,5288345000000366001,No,20/02/2025 06:07,5288345000015189003,,,Empregabilidade,No,,Agendamento Pendente,,,No,No,Yes,Yes,No,Curso Base
5288345000108766050,13/06/2024 16:13,20/02/2025 06:02,5288345000000366001,Administrador EdN,5.288345000105198e+18,,Aprovado,72.0,5.288345000105231e+18,5.288345000108772e+18,5288345000000366001,No,20/02/2025 06:02,5288345000015189003,,,Empregabilidade,No,,Reprovado,21/09/2024,21/09/2024,No,No,Yes,Yes,No,Curso Base
5288345000144608009,27/11/2024 13:11,20/02/2025 06:42,5288345000000366001,Administrador EdN,5.288345000129891e+18,18/02/2025,Desistência,,5.288345000129887e+18,5.288345000144563e+18,5288345000000366001,No,20/02/2025 06:42,5288345000075727001,,Disponibilidade de tempo,,No,,,,,No,No,No,No,No,
5288345000129954069,30/09/2024 08:39,20/02/2025 13:20,5288345000000366001,Administrador EdN,5.288345000057013e+18,,Aprovado,83.0,,5.288345000116415e+18,5288345000000366001,No,20/02/2025 13:20,5288345000015189003,,,,No,,,30/12/2024,13/12/2024,No,No,Yes,No,No,Curso de extensão
5288345000129984081,30/09/2024 08:39,20/02/2025 13:20,5288345000000366001,Administrador EdN,5.288345000047622e+18,,Aprovado,82.0,,5.288345000116415e+18,5288345000000366001,No,20/02/2025 13:20,5288345000015189003,,,,No,,,,,No,No,No,No,No,Curso de extensão
5288345000129992078,30/09/2024 08:39,20/02/2025 13:16,5288345000000366001,Administrador EdN,5.288345000048956e+18,,Aprovado,80.0,,5.288345000116415e+18,5288345000000366001,No,20/02/2025 13:16,5288345000015189003,,,,No,,,09/12/2024,09/12/2024,No,No,Yes,No,No,Curso de extensão
5288345000130001075,30/09/2024 08:39,20/02/2025 13:20,5288345000000366001,Administrador EdN,5.288345000054261e+18,,Aprovado,80.0,,5.288345000116415e+18,5288345000000366001,No,20/02/2025 13:20,5288345000015189003,,,,No,,Aprovado,27/12/2024,13/12/2024,No,No,Yes,No,No,Curso de extensão
5288345000130009119,30/09/2024 08:39,20/02/2025 13:20,5288345000000366001,Administrador EdN,5.28834500004706e+18,,Aprovado,80.0,,5.288345000116415e+18,5288345000000366001,No,20/02/2025 13:20,5288345000015189003,,,,No,,,,,No,No,No,No,No,Curso de extensão
5288345000130011097,30/09/2024 08:40,20/02/2025 13:20,5288345000000366001,Administrador EdN,5.288345000028947e+18,,Aprovado,70.0,,5.288345000116415e+18,5288345000000366001,No,20/02/2025 13:20,5288345000015189003,,,,No,,,,,No,No,No,No,No,Curso de extensão
5288345000130017068,30/09/2024 08:40,20/02/2025 13:16,5288345000000366001,Administrador EdN,5.288345000048887e+18,,Aprovado,90.0,,5.288345000116415e+18,5288345000000366001,No,20/02/2025 13:16,5288345000015189003,,,,No,,,,,No,No,No,No,No,Curso de extensão
5288345000130022092,30/09/2024 08:40,20/02/2025 13:20,5288345000000366001,Administrador EdN,5.288345000046007e+18,,Aprovado,80.0,,5.288345000116415e+18,5288345000000366001,No,20/02/2025 13:20,5288345000015189003,,,,No,,,,,No,No,Yes,No,No,Curso de extensão
5288345000130027110,30/09/2024 08:39,20/02/2025 13:16,5288345000000366001,Administrador EdN,5.288345000023098e+18,,Aprovado,80.0,,5.288345000116415e+18,5288345000000366001,No,20/02/2025 13:16,5288345000015189003,,,,No,,,,30/04/2025,No,No,Yes,No,No,Curso de extensão
5288345000130029094,30/09/2024 08:39,20/02/2025 13:20,5288345000000366001,Administrador EdN,5.288345000046047e+18,,Aprovado,88.0,,5.288345000116415e+18,5288345000000366001,No,20/02/2025 13:20,5288345000015189003,,,,No,,Aprovado,31/12/2024,14/12/2024,No,No,Yes,No,No,Curso de extensão
5288345000130033048,30/09/2024 08:39,20/02/2025 13:20,5288345000000366001,Administrador EdN,5.288345000052813e+18,,Aprovado,89.0,,5.288345000116415e+18,5288345000000366001,No,20/02/2025 13:20,5288345000015189003,,,,No,,Aprovado,20/12/2024,13/12/2024,No,No,Yes,No,No,Curso de extensão
5288345000130036162,30/09/2024 08:40,20/02/2025 13:20,5288345000000366001,Administrador EdN,5.288345000054565e+18,,Aprovado,89.0,,5.288345000116415e+18,5288345000000366001,No,20/02/2025 13:20,5288345000015189003,,,,No,,,12/12/2024,12/12/2024,No,No,Yes,No,No,Curso de extensão
5288345000130039090,30/09/2024 08:40,20/02/2025 13:16,5288345000000366001,Administrador EdN,5.288345000043447e+18,,Aprovado,85.0,,5.288345000116415e+18,5288345000000366001,No,20/02/2025 13:16,5288345000015189003,,,,No,,,,29/03/2025,No,No,Yes,No,No,Curso de extensão
5288345000130046036,30/09/2024 08:39,20/02/2025 13:16,5288345000000366001,Administrador EdN,5.288345000054145e+18,,Aprovado,90.0,,5.288345000116415e+18,5288345000000366001,No,20/02/2025 13:16,5288345000015189003,,,,No,,,,,No,No,No,No,No,Curso de extensão
5288345000130047135,30/09/2024 08:40,20/02/2025 13:16,5288345000000366001,Administrador EdN,5.288345000052178e+18,,Aprovado,75.0,,5.288345000116415e+18,5288345000000366001,No,20/02/2025 13:16,5288345000015189003,,,,No,,Aprovado,30/12/2024,14/12/2024,No,No,Yes,No,No,Curso de extensão
5288345000130051211,30/09/2024 08:39,20/02/2025 13:20,5288345000000366001,Administrador EdN,5.288345000045874e+18,,Aprovado,87.0,,5.288345000116415e+18,5288345000000366001,No,20/02/2025 13:20,5288345000015189003,,,,No,,,,28/03/2025,No,No,Yes,No,No,Curso de extensão
5288345000130053044,30/09/2024 08:39,20/02/2025 13:16,5288345000000366001,Administrador EdN,5.288345000035344e+18,,Aprovado,75.0,,5.288345000116415e+18,5288345000000366001,No,20/02/2025 13:16,5288345000015189003,,,,No,,,,,No,No,No,No,No,Curso de extensão
